Player,bbref_id,PlayerID,status,pos,height,weight,num,code,team_id,team_name,birthdate,age,exp,school,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kevin Huerter,huertke01,1628989,Starter,SG,79,190,3,ATL,1610612737,Atlanta Hawks,8/27/1998,21,1,Maryland,2020,3818,1760,-0.5091425469,-2.650795562,-3.159938109,0.03083028759,-1.103315366,-1.072485078,-0.4008102256,-2.425765104,-2.82657533,-0.06886189021,-0.06886189021,0,-0.4066642118,-2.081881105,-2.488545316,0.1497146414
Paul Watson,watsopa01,1628778,,G,79,215,1,ATL,1610612737,Atlanta Hawks,12/30/1994,25,0,Fresno State,2020,57,25,-6.391579338,-1.570438901,-7.962018239,0.192785661,11.61647311,11.80925877,-5.399070577,1.126984514,-4.272086063,-0.02074894846,-0.02074894846,0,-2.311128824,-1.914251909,-4.225380734,0.05869600634
Skal Labissiere,labissk01,1627746,Out,F-C,82,216,17,ATL,1610612737,Atlanta Hawks,3/18/1996,23,3,Kentucky,2020,1221,567,-1.160552386,-0.3215884583,-1.482140844,-1.33229077,2.538603989,1.206313219,-1.279600078,0.3288301135,-0.9507699648,0.5194596485,0.5194596485,0,-1.120511265,0.350675846,-0.7698354189,-0.2014193071
Trae Young,youngtr01,1629027,Starter,PG,73,180,11,ATL,1610612737,Atlanta Hawks,9/19/1998,21,1,Oklahoma,2020,4645,2120,6.355977632,-2.800174605,3.555803028,7.211378666,-5.392912571,1.818466095,7.06792711,-3.450503896,3.617423214,7.08260848,7.08260848,0,7.624129723,-3.874879213,3.74925051,2.894863136
Treveon Graham,grahatr01,1626203,,G-F,77,219,12,ATL,1610612737,Atlanta Hawks,10/28/1993,25,3,Va Commonwealth,2020,2009,929,-3.209666861,0.3517944879,-2.857872373,-3.69005294,-0.4492516507,-4.13930459,-3.497984515,0.2406935041,-3.257291011,-0.2389029386,-0.2389029386,0,-4.349090058,0.1387676068,-4.210322451,-0.3981781423
Tyrone Wallace,wallaty01,1627820,Waived,G,77,198,3,ATL,1610612737,Atlanta Hawks,6/10/1994,25,2,California,2020,348,160,-5.531913965,0.174475481,-5.357438484,-8.707667989,6.005283348,-2.702384641,-6.487126996,1.498671492,-4.988455504,-0.1831881026,-0.1831881026,0,-6.637530665,-0.08150998738,-6.719040652,0.2559552612
Vince Carter,cartevi01,1713,,G-F,78,220,15,ATL,1610612737,Atlanta Hawks,1/26/1977,42,21,North Carolina,2020,1910,876,-2.251107553,-1.860371065,-4.111478619,-3.837904985,1.705924465,-2.13198052,-2.692740734,-1.159526937,-3.852267671,-0.491957385,-0.491957385,0,-1.787611919,-2.694595395,-4.482207314,-0.1418033225
Caris LeVert,leverca01,1627747,Starter,SF,78,205,22,BKN,1610612751,Brooklyn Nets,8/25/1994,25,3,Michigan,2020,2482,1159,1.348312796,0.4342946873,1.782607483,0.312648217,-2.338055406,-2.025407189,1.266691409,-0.1293434975,1.137347911,2.307807974,2.307807974,0,0.7903262956,-0.3935229587,0.3968033368,0.4053535776
Chris Chiozza,chiozch01,1629185,,G,71,175,9,BKN,1610612751,Brooklyn Nets,11/21/1995,23,1,Florida,2020,579,266,0.3736629102,-1.775486072,-1.401823162,-2.724477729,7.990539576,5.266061847,-0.2406316589,0.1907037643,-0.04992789464,0.3650219208,0.3650219208,0,0.212555,-0.8267099513,-0.6141549513,0.1493516795
David Nwaba,nwabada01,1628021,,G-F,77,219,0,BKN,1610612751,Brooklyn Nets,1/14/1993,26,3,Cal Poly-Obispo,2020,585,268,-0.1490185903,5.504478898,5.355460308,-2.896085574,9.228009664,6.331924089,-0.7256509678,6.60239823,5.876747262,1.184531931,1.184531931,0,-1.390619357,4.458115806,3.06749645,0.4294284668
DeAndre Jordan,jordade01,201599,,C,83,265,6,BKN,1610612751,Brooklyn Nets,7/21/1988,31,11,Texas A&M,2020,2646,1234,-0.9201589715,1.461624686,0.5414657144,-3.571446065,2.066764515,-1.50468155,-1.529965027,1.656158877,0.1261938501,1.816774174,1.816774174,0,-1.89580137,0.2982136386,-1.597587732,0.3357678542
Dzanan Musa,musadz01,1629058,G-League,G-F,81,217,13,BKN,1610612751,Brooklyn Nets,5/8/1999,20,1,,2020,907,414,-3.811483611,1.859482957,-1.952000654,-4.842803998,1.998297078,-2.84450692,-4.23998592,1.990978575,-2.249007345,0.1072401637,0.1072401637,0,-3.676465662,-0.311932773,-3.988398435,1.367947161
Garrett Temple,templga01,202066,,G-F,77,195,17,BKN,1610612751,Brooklyn Nets,5/8/1986,33,9,Louisiana State,2020,3365,1571,-1.020019231,0.1123762144,-0.9076430163,-5.101325453,2.475229391,-2.626096062,-1.924455321,0.5977855757,-1.326669745,1.141240494,1.141240494,0,-2.036239449,0.2957333318,-1.740506117,0.03637836334
Henry Ellenson,ellenhe01,1627740,,F-C,82,240,4,BKN,1610612751,Brooklyn Nets,1/13/1997,22,3,Marquette,2020,36,15,-4.95598375,13.13138736,8.17540361,-9.645747802,30.20843199,20.56268419,-6.244721168,17.47169367,11.2269725,0.1075421693,0.1075421693,0,-5.043504887,8.751068692,3.707563806,0.5496788205
Iman Shumpert,shumpim01,202697,,G,77,212,10,BKN,1610612751,Brooklyn Nets,7/26/1990,29,8,Georgia Tech,2020,501,241,-4.119108205,1.462229356,-2.65687885,-4.22154362,-1.112983508,-5.334527128,-4.397734204,0.9984143186,-3.399319885,-0.0798382619,-0.0798382619,0,-3.629376823,0.4206296662,-3.208747157,-0.001204094104
Jarrett Allen,allenja01,1628386,Starter,C,83,243,31,BKN,1610612751,Brooklyn Nets,4/21/1998,21,2,Texas,2020,3540,1674,-1.255836968,2.6600541,1.404217132,2.206806448,-0.7916189889,1.41518746,-0.6016429013,2.078015699,1.476372797,3.587012849,3.587012849,0,-0.9936521889,1.859619199,0.8659670099,-0.6393934925
Jeremiah Martin,martije02,1629725,G-League,G,74,185,0,BKN,1610612751,Brooklyn Nets,6/19/1996,23,0,Memphis,2020,56,25,-6.712939806,15.13444242,8.421502613,9.204765994,13.10396474,22.30873073,-3.799962824,15.60153669,11.80157387,0.1839561636,0.1839561636,0,-1.351560149,10.92323528,9.571675134,-0.9063656955
Joe Harris,harrijo01,203925,Starter,SG,78,220,12,BKN,1610612751,Brooklyn Nets,9/6/1991,28,5,Virginia,2020,4203,1975,-0.1190199976,-1.160895245,-1.279915243,3.120641,-0.8745191127,2.246121887,0.5675778351,-1.183728784,-0.6161509492,2.15630762,2.15630762,0,0.6250125832,-1.224445532,-0.5994329492,0.2915427203
Justin Anderson,anderju01,1626147,,F-G,77,231,7,BKN,1610612751,Brooklyn Nets,11/19/1993,26,4,Virginia,2020,63,27,-4.969004833,8.307701096,3.338696262,-5.958694029,19.32015532,13.3614613,-5.451970814,11.13765566,5.685684844,0.1173294598,0.1173294598,0,-5.573607348,4.752024948,-0.8215823998,0.987133836
Kyrie Irving,irvinky01,202681,Out,G,74,195,11,BKN,1610612751,Brooklyn Nets,3/23/1992,27,8,Duke,2020,1430,658,6.6027603,-2.925313859,3.677446441,2.194006327,-3.618149377,-1.424143049,6.152578124,-3.259089793,2.893488331,1.915873465,1.915873465,0,6.036295395,-1.79093615,4.245359244,1.146229132
Lance Thomas,thomala01,202498,,F,80,225,42,BKN,1610612751,Brooklyn Nets,4/24/1988,32,8,Duke,2020,38,18,-2.111102664,-19.84876084,-21.95986351,1.639424063,-30.98827952,-29.34885546,-1.440473417,-23.3843949,-24.82486832,-0.203667934,-0.203667934,0,-2.553099906,-16.29746451,-18.85056442,0.4735755995
Nicolas Claxton,claxtni01,1629651,G-League,F-C,83,215,33,BKN,1610612751,Brooklyn Nets,4/17/1999,20,0,Georgia,2020,410,187,-1.548531381,1.96289265,0.4143612685,-7.713493708,-2.879114249,-10.59260796,-2.908161796,1.0666831,-1.841478696,0.08627576449,0.08627576449,0,-2.863199405,-1.394607132,-4.257806537,-0.4753108975
Rodions Kurucs,kurucro01,1629066,G-League,F,81,228,0,BKN,1610612751,Brooklyn Nets,2/5/1998,21,1,,2020,1141,517,-3.1999268,0.08386615959,-3.11606064,-4.386356268,4.555805784,0.1694495156,-3.631172139,1.014240076,-2.616932063,0.03552939617,0.03552939617,0,-3.108366054,-0.1244185133,-3.232784567,1.248546975
Spencer Dinwiddie,dinwisp01,203915,Starter,PG,77,215,8,BKN,1610612751,Brooklyn Nets,4/6/1993,26,5,Colorado,2020,4225,1994,3.303136037,-2.300978576,1.002157461,4.143874922,-1.774629814,2.369245108,3.736041158,-2.342448347,1.393592811,4.191057593,4.191057593,0,3.595580971,-2.333300671,1.262280299,-0.5899624939
Taurean Prince,princta02,1627752,Starter,PF,79,218,2,BKN,1610612751,Brooklyn Nets,3/22/1994,25,3,Baylor,2020,3948,1857,-2.905151133,0.2635056955,-2.641645438,1.770278691,-0.06292039173,1.707358299,-2.084158964,0.1966039837,-1.88755498,0.8222225916,0.8222225916,0,-1.557005699,0.2513004492,-1.30570525,0.6374823787
Theo Pinson,pinsoth01,1629033,G-League,G-F,77,212,1,BKN,1610612751,Brooklyn Nets,11/5/1995,23,1,North Carolina,2020,782,365,-5.439909357,2.187863333,-3.252046024,-5.083494728,3.734614979,-1.348879749,-5.669168515,2.630214682,-3.038953833,-0.05384359911,-0.05384359911,0,-3.775103474,0.8392419828,-2.935861491,0.06397865735
Timothe Luwawu-Cabarrot,luwawti01,1627789,,G-F,79,220,15,BKN,1610612751,Brooklyn Nets,5/9/1995,24,3,,2020,1494,692,-0.1190288409,1.170747505,1.051718664,-5.256732312,3.753600808,-1.503131504,-1.183915401,1.769681182,0.5857657804,1.182750752,1.182750752,0,-1.224357778,0.8901570739,-0.3342007045,0.4357229505
Wilson Chandler,chandwi01,201163,Out,F,80,235,21,BKN,1610612751,Brooklyn Nets,5/10/1987,32,12,DePaul,2020,1569,734,-1.79215394,1.181529508,-0.6106244326,-4.412520045,-1.195395945,-5.607915991,-2.451143339,0.7394349587,-1.71170838,0.3875647572,0.3875647572,0,-2.2627385,0.4025411584,-1.860197341,-0.3310151828
Brad Wanamaker,wanambr01,202954,,G,75,210,9,BOS,1610612738,Boston Celtics,7/25/1989,30,1,Pittsburgh,2020,2621,1241,-1.103266386,-0.4356434074,-1.538909794,-2.625419936,0.8764098553,-1.74901008,-1.533972152,-0.2404391785,-1.77441133,0.6148087927,0.6148087927,0,-1.612808331,0.07413047626,-1.538677855,-0.4777781656
Carsen Edwards,edwarca01,1629035,,G,71,200,4,BOS,1610612738,Boston Celtics,3/12/1998,21,0,Purdue,2020,692,316,-3.299226197,-1.017974737,-4.317200933,-13.09367583,3.453032204,-9.64064363,-5.593366499,-0.1907715098,-5.784138009,-0.4921161823,-0.4921161823,0,-5.041414006,-1.164385452,-6.205799458,0.613649414
Daniel Theis,theisda01,1628464,Starter,C,80,215,27,BOS,1610612738,Boston Celtics,4/4/1992,27,2,,2020,2948,1414,-0.5672851116,1.891038197,1.323753086,1.009402658,0.7253112435,1.734713901,-0.3104135598,1.67104281,1.36062925,2.950417742,2.950417742,0,-0.2861677092,2.528898885,2.242731176,-0.5188560483
Enes Kanter,kanteen01,202683,,C,82,262,11,BOS,1610612738,Boston Celtics,5/20/1992,27,8,,2020,1886,902,0.788426362,2.224022815,3.012449177,1.805289781,-0.3135506147,1.491739166,1.014901937,1.753763221,2.768665158,2.524592733,2.524592733,0,6.08E-04,1.104319775,1.104927884,-0.6064613756
Gordon Hayward,haywago01,202330,Starter,PF,79,207,20,BOS,1610612738,Boston Celtics,3/23/1990,29,9,Butler,2020,3262,1536,1.182055866,-1.347977697,-0.1659218316,2.05318285,2.159658166,4.212841016,1.409387421,-0.7053299375,0.7040574839,2.715515526,2.715515526,0,1.913848544,-0.8832388404,1.030609704,0.3272561601
Grant Williams,willigr01,1629684,,F,78,236,12,BOS,1610612738,Boston Celtics,11/30/1998,20,0,Tennessee,2020,2082,974,-3.633354222,2.026644511,-1.606709711,-0.8810597109,4.626721779,3.745662068,-3.333115398,2.607324007,-0.7257913909,1.007890341,1.007890341,0,-3.623336735,1.974965337,-1.648371398,0.201868745
Javonte Green,greenja02,1629750,,G-F,76,220,43,BOS,1610612738,Boston Celtics,7/23/1993,26,0,Radford University,2020,892,414,-2.411166981,0.4421854725,-1.968981509,-2.730606284,0.6503298248,-2.080276459,-2.682805517,0.4593266785,-2.223478839,0.1116946893,0.1116946893,0,-2.416839741,0.03972670703,-2.377113034,0.4415644148
Jaylen Brown,brownja02,1627759,Starter,SG,78,223,7,BOS,1610612738,Boston Celtics,10/24/1996,22,3,California,2020,3610,1736,0.9765118714,-0.05371269473,0.9227991767,1.302767754,-2.408751082,-1.105983329,1.081254413,-0.5950537725,0.4862006407,2.873691492,2.873691492,0,1.298168331,0.3022195656,1.600387897,0.2621166911
Jayson Tatum,tatumja01,1628369,Starter,SF,80,204,0,BOS,1610612738,Boston Celtics,3/3/1998,21,2,Duke,2020,4355,2076,2.727361082,1.077275109,3.804636191,3.904871651,3.280028433,7.184900083,3.124925772,1.577476626,4.702402399,7.872866666,7.872866666,0,3.833881723,1.642151876,5.476033599,-0.2653517567
Kemba Walker,walkeke02,202689,Out,G,72,172,8,BOS,1610612738,Boston Celtics,5/8/1990,29,8,Connecticut,2020,3367,1611,4.840315683,0.4627106354,5.303026319,5.916435068,-4.370757721,1.545677347,5.345976729,-0.5653343934,4.780642336,6.190898161,6.190898161,0,6.070926806,-0.1582865411,5.912640265,0.02011803159
Marcus Smart,smartma01,203935,Starter,PG,75,227,36,BOS,1610612738,Boston Celtics,3/6/1994,25,5,Oklahoma State,2020,3702,1753,1.648204422,1.902361549,3.550565972,-2.167159591,3.254396893,1.087237302,0.9229278841,2.263203695,3.18613158,5.331065031,5.331065031,0,1.487780766,2.723404673,4.211185439,0.4208530435
Robert Williams III,williro04,1629057,GTD,C-F,80,237,44,BOS,1610612738,Boston Celtics,10/17/1997,22,1,Texas A&M,2020,684,323,-2.036269499,3.937629062,1.901359563,0.05450773639,-2.855038342,-2.800530605,-1.771132846,2.683374682,0.9122418357,0.6062777981,0.6062777981,0,-1.349430315,2.446259019,1.096828704,0.4665183382
Romeo Langford,langfro01,1629641,,G-F,76,216,45,BOS,1610612738,Boston Celtics,10/25/1999,19,0,Indiana,2020,628,298,-3.216476448,0.9975673277,-2.21890912,-0.3425275726,3.56369946,3.221171887,-2.873654629,1.552206087,-1.321448542,0.2170670416,0.2170670416,0,-3.682347334,0.003227422832,-3.679119911,-0.06075010419
Semi Ojeleye,ojelese01,1628400,,F,78,235,37,BOS,1610612738,Boston Celtics,12/5/1994,24,2,Southern Methodist,2020,1893,906,-1.401058601,1.816446338,0.4153877367,-4.173430809,-0.02914830719,-4.202579116,-2.119931183,1.488439372,-0.6314918111,0.9714179144,0.9714179144,0,-2.273753881,0.5605335863,-1.713220294,-0.8170741216
Tacko Fall,fallta01,1629605,G-League,C,89,311,99,BOS,1610612738,Boston Celtics,12/10/1995,23,0,Central Florida,2020,55,24,-9.36831467,-2.44479419,-11.81310886,-6.509417484,9.995808708,3.486391223,-9.389151056,-0.09796772472,-9.487118781,-0.08363822233,-0.08363822233,0,-8.343303423,-2.779792771,-11.12309619,1.414035049
Tremont Waters,watertr01,1629682,G-League,G,70,175,51,BOS,1610612738,Boston Celtics,1/10/1998,21,0,Louisiana State,2020,190,89,-6.339614305,-1.470185012,-7.809799317,1.499707435,0.9144638638,2.414171299,-5.119648974,-1.120394093,-6.240043068,-0.1611522985,-0.1611522985,0,-4.832949588,-1.657015587,-6.489965175,1.723207399
Vincent Poirier,poirivi01,1629738,,C-F,84,235,77,BOS,1610612738,Boston Celtics,10/17/1993,26,0,,2020,258,114,-4.28675734,-2.769901204,-7.056658545,-2.440671889,-1.927021217,-4.367693107,-4.232050173,-2.89683375,-7.128883923,-0.2557368715,-0.2557368715,0,-4.916589936,-2.740351024,-7.65694096,0.4200319281
Bismack Biyombo,biyombi01,202687,,C,80,255,8,CHA,1610612766,Charlotte Hornets,8/28/1992,27,8,,2020,2066,1029,-2.672819159,-1.236495876,-3.909315035,-0.8246552571,0.5871823347,-0.2374729224,-2.407346951,-0.8729992297,-3.280346181,-0.2761605554,-0.2761605554,0,-2.365490535,-2.033490241,-4.398980776,-0.83127122
Caleb Martin,martica02,1628997,,F,77,205,10,CHA,1610612766,Charlotte Hornets,9/28/1995,24,0,Nevada-Reno,2020,633,317,-1.515378625,4.340668181,2.825289555,-3.394157026,5.44646748,2.052310453,-1.954845941,4.904362174,2.949516233,0.9205250265,0.9205250265,0,-2.178254016,3.386488361,1.208234345,-0.1413260374
Cody Martin,martico01,1628998,,F,77,205,11,CHA,1610612766,Charlotte Hornets,9/28/1995,24,0,Nevada-Reno,2020,1858,903,-2.038197273,4.204681796,2.166484523,-0.5216194899,3.052978994,2.531359504,-1.816336903,4.292142838,2.475805935,2.405730847,2.405730847,0,-1.943207675,3.295521329,1.352313654,-0.07852438001
Cody Zeller,zelleco01,203469,Starter,F-C,84,240,40,CHA,1610612766,Charlotte Hornets,10/5/1992,27,6,Indiana,2020,2724,1341,-0.4954995401,-0.8396497015,-1.335149242,-0.3232220655,-3.368869232,-3.692091297,-0.4258039237,-1.351398673,-1.777202597,0.6649526526,0.6649526526,0,-0.4365327081,-1.291654037,-1.728186745,-0.0941228322
Devonte' Graham,grahade01,1628984,Starter,PG,73,185,4,CHA,1610612766,Charlotte Hornets,2/22/1995,24,1,Kansas,2020,4483,2211,2.191928405,-1.697120808,0.4948075965,4.781967895,-0.3203868205,4.461581075,2.954876217,-1.491981802,1.462894415,4.726694753,4.726694753,0,3.569824194,-1.707001114,1.86282308,-0.5509953221
Dwayne Bacon,bacondw01,1628407,Inactive,G-F,78,221,7,CHA,1610612766,Charlotte Hornets,8/30/1995,24,2,Florida State,2020,1419,687,-5.422779057,-1.081666032,-6.504445088,-3.267540691,1.926347882,-1.341192809,-5.243641645,-0.4850469927,-5.728688638,-1.039273925,-1.039273925,0,-4.767345002,-1.564976288,-6.33232129,-0.4668729447
Jalen McDaniels,mcdanja01,1629667,,F-C,82,205,6,CHA,1610612766,Charlotte Hornets,1/31/1998,21,0,San Diego State,2020,586,293,-0.8002976749,0.6789342652,-0.1213634098,-0.4600050174,1.529455345,1.069450328,-0.7533827242,0.9549848538,0.2016021296,0.4396345667,0.4396345667,0,-1.412588813,0.3201445944,-1.092444219,-0.3690458675
Joe Chealey,chealjo01,1629147,,,,,,CHA,1610612766,Charlotte Hornets,11/1/1995,24,1,Charleston,2020,69,33,-10.82443996,5.598668821,-5.22577114,-25.30428421,9.459971834,-15.84431238,-14.44344247,6.822421678,-7.621020796,-0.08158964388,-0.08158964388,0,-10.73347743,3.654675043,-7.078802384,-0.5246231084
Malik Monk,monkma01,1628370,Out,G,75,200,1,CHA,1610612766,Charlotte Hornets,2/4/1998,21,2,Kentucky,2020,2409,1169,-1.025177242,-3.047586793,-4.072764035,-3.727895283,-1.781036347,-5.50893163,-1.575716955,-2.941587207,-4.517304162,-1.057416969,-1.057416969,0,-1.403756731,-4.000624223,-5.404380954,0.3246526079
Marvin Williams,willima02,101107,,F,80,237,2,CHA,1610612766,Charlotte Hornets,6/19/1986,33,14,North Carolina,2020,2129,1011,-0.9037248859,-1.010127759,-1.913852645,0.01217927876,-0.7512324273,-0.7390531486,-0.7503976282,-1.005015555,-1.755413183,0.4921608156,0.4921608156,0,-1.177218651,-1.419193162,-2.596411813,-0.1313916186
Michael Kidd-Gilchrist,kiddgmi01,203077,,F,78,232,14,CHA,1610612766,Charlotte Hornets,9/26/1993,26,7,Kentucky,2020,475,231,-6.531050947,0.1097459907,-6.421304956,-4.663363627,6.900183536,2.236819908,-6.511333384,1.566924052,-4.944409332,-0.2439544544,-0.2439544544,0,-6.462435316,-0.1204154296,-6.582850745,-0.8576532396
Miles Bridges,bridgmi02,1628970,Starter,SF,78,225,0,CHA,1610612766,Charlotte Hornets,3/21/1998,21,1,Michigan State,2020,4038,1995,-1.578403521,-0.9495104559,-2.527913977,-0.6258378698,-4.563354474,-5.189192344,-1.414222136,-1.71595181,-3.130173946,-0.3854107578,-0.3854107578,0,-1.451595021,-2.051681962,-3.503276983,-0.4083120394
Nicolas Batum,batumni01,201587,,G-F,81,200,5,CHA,1610612766,Charlotte Hornets,12/14/1988,30,11,,2020,1028,505,-1.522667735,3.189122569,1.666454835,2.722231756,-0.4186048518,2.303626904,-0.7273759707,2.668875645,1.941499674,1.202986552,1.202986552,0,-1.09299918,2.002833554,0.9098343741,-0.4880257812
P.J. Washington,washipj01,1629023,Starter,PF,79,236,25,CHA,1610612766,Charlotte Hornets,8/23/1998,21,0,Kentucky,2020,3563,1759,-2.309252808,-1.247788278,-3.557041086,-2.158655763,1.471167732,-0.6874880304,-2.367215388,-0.7057833359,-3.072998724,-0.2902158172,-0.2902158172,0,-2.053674559,-0.9428269618,-2.996501521,0.1207946878
Terry Rozier,roziete01,1626179,GTD,SG,73,190,3,CHA,1610612766,Charlotte Hornets,3/17/1994,25,4,Louisville,2020,4356,2164,0.3864813025,-0.928160392,-0.5416790895,-4.853253011,-3.151124176,-8.004377187,-0.6013588174,-1.41827175,-2.019630567,0.8002021693,0.8002021693,0,-0.495392428,-1.628419077,-2.123811505,-0.7816251439
Willy Hernangomez,hernawi01,1626195,,C-F,83,240,9,CHA,1610612766,Charlotte Hornets,5/27/1994,25,3,,2020,772,375,-1.018914151,-1.677570153,-2.696484304,-3.287283702,3.625975576,0.3386918744,-1.465716401,-0.6008805872,-2.066596989,0.1309436321,0.1309436321,0,-1.920731529,-2.517400849,-4.438132378,0.1494398949
Adam Mokoka,mokokad01,1629690,,G,77,190,20,CHI,1610612741,Chicago Bulls,7/18/1998,21,0,Mega Basket,2020,234,112,0.03549435485,-0.8844990047,-0.8490046499,11.02235577,3.723726199,14.74608197,2.383951442,0.006839476051,2.390790918,0.2936686278,0.2936686278,0,-0.07282568259,0.01673995212,-0.05608573047,-0.03073273265
Chandler Hutchison,hutchch01,1628990,Out,F-G,79,197,15,CHI,1610612741,Chicago Bulls,4/26/1996,23,1,Boise State,2020,1154,527,-2.131159093,0.7822417652,-1.348917328,-6.106683625,-0.7742064152,-6.88089004,-3.030242532,0.5047970303,-2.525445502,0.06084998494,0.06084998494,0,-2.525024522,0.7559484013,-1.76907612,0.7988028167
Coby White,whiteco01,1629632,,G,76,185,0,CHI,1610612741,Chicago Bulls,2/16/2000,19,0,North Carolina,2020,3575,1674,-1.003788496,-1.663623854,-2.667412349,-0.5947988465,-0.4671374712,-1.061936318,-0.9150715245,-1.495535332,-2.410606856,0.2901010344,0.2901010344,0,-1.310978796,-1.570913708,-2.881892504,0.08231292511
